Period,record_count,mean_unemployment,median_unemployment,std_unemployment,min_unemployment,max_unemployment,mean_employed,mean_labour_participation
Pre-COVID,536,9.509533582089551,7.115,7.35886332946019,0.0,34.69,7466027.869402985,43.886119402985074
COVID Period,204,17.77436274509804,14.52,15.03366272279785,0.0,76.74,6517203.338235294,39.33004901960784
Absolute Difference,,8.264829163008487,7.404999999999999,7.6747993933376595,0.0,42.05,-948824.5311676906,-4.556070383377232
Percentage Change (%),,86.91098350580133,104.07589599437806,104.29327261198974,,121.21648890170079,-12.708558657490823,-10.381574961187692
